卢米埃尔与四十大导 Lumière et compagnie (1995),西奥·安哲罗普洛斯,文森特·阿兰达,约翰·保曼,尤瑟夫·夏因,阿兰·科诺,科斯塔-加夫拉斯,雷蒙·德帕东,拉斯·霍尔斯道姆,彼得·格林纳威,休·赫德森,加斯顿·卡伯,阿巴斯·基亚罗斯塔米,塞德里克·克拉皮斯,安德烈·康查洛夫斯基,斯派克·李,克洛德·勒卢什,比格斯·鲁纳,阿瑟·佩恩,卢奇安·平蒂列,贺玛·桑德斯-勃拉姆斯,杰瑞·沙茨伯格,费尔南多·特鲁埃瓦,丽芙·乌曼,雅克·范·多梅尔,雷吉斯·瓦格涅,维姆·文德斯,吉田喜重,张艺谋,莫扎克·阿洛维奇,加布里埃尔·阿克谢,迈克尔·哈内克,詹姆斯·伊沃里,帕特里斯·勒孔特,大卫·林奇,克洛德·米勒,伊德沙·渥德拉戈,雅克·里维特,罗曼娜·波琳热,布鲁诺·甘茨,伊莎贝尔·于佩尔,尼尔·乔丹
中国电影的前世今生 Le Cinéma chinois hier et aujourd'hui (2007),Hubert Niogret,陈凯歌,张艺谋,黄建新,娄烨,贾樟柯,韩三平,谢晋,王超
坚如磐石 (2020),张艺谋
跨界冰雪王 (2017),张艺谋,申雪,赵宏博,林更新,张静初,曹格,左小青,孙艺洲,李菲儿
花样中国 第一季 花样中国 (2019),张艺谋,桑吉加
张艺谋讲述北京奥运会开幕式 チャン・イーモウ 北京オリンピックを語る (2008),张艺谋,香川照之
聚焦 (2013),焦雄屏,张艺谋
悬崖之上 (2020),张艺谋
第九届北京国际电影节颁奖典礼 第九届北京国际电影节颁奖典礼 (2019),罗伯·明可夫,西尔维奥·盖约齐,曹保平,谢尔盖·德瓦茨沃伊,刘嘉玲,马基德·马基迪,西蒙·韦斯特,西尔扎提·亚合甫
缘起 (2002),甘露,张艺谋,李连杰,梁朝伟,张曼玉,章子怡,杜可风,程小东
影响：改革开放40年的中国电影 (2018),张艺谋,谢飞,黄建新,王晓棠,李雪健,唐国强
第69届柏林国际电影节颁奖典礼 The 69th Berlin International Film Festival (2019),罗勒·莎菲,王小帅,夏洛特·兰普林,阿格涅丝卡·霍兰,伊莎贝尔·科赛特,菲尼斯·玛丽 Phoenix Ma,弗朗索瓦·欧容,安格拉·夏娜莱克
第十届中国电影导演协会年度奖 (2019),贾樟柯,姜文,张艺谋,文牧野,毕赣,黄渤,徐峥,章宇
奥运档案 (2009),师旭平,张艺谋,张和平,张继钢,陈维亚,蔡国强,陈其钢
如花 (2004),甘露,张艺谋,金城武,章子怡,刘德华
180台DV的故事 (2014),张艺谋,Peng Wang
行进中的中国光影 (2017),CCTV,林子杰,刘婧荦,季冠霖,李连杰,甄子丹,张震,彭于晏,梁朝伟
图兰朵紫禁城版 Turandot in the Forbidden City of Beijing (1999),Hugo Käch,Ruth Käch,张艺谋,Giovanna Casolla,Sergej Larin,Barbara Frittoli
世界最大的影视城: 横店影视城 世界最大の映画村 誕生 (2008),NHK,张艺谋,许安,何润东,李连杰
第17届中国电影华表奖 The 17th Huabiao Film Awards (2018),章子怡,葛优,周冬雨,张艺谋,陈凯歌,吴亦凡,易烊千玺,王源
中国铁路 (2010),张艺谋
伟大的表演 第一季 Great Performances Season 1 (1972),Steve Ruggi,David Horn,Brian Large,Karen McLaughlin,Eulogio Ortiz,Walter Cronkite,张艺谋
看电影 (2006),张艺谋,吕聿来,李曼
第九届中国电影导演协会年度奖 第9届中国电影导演协会年度奖 (2018),冯小刚,游晓颖,文晏,张艾嘉,周子阳,涂们,周冬雨,郑大圣
天下归心 (2015),芭芭拉·威利斯·斯威特,张艺谋,孟广禄,陈少云,李鸣岩,史依弘,朱世慧,康静
现代中国电影 New Chinese Cinema (1989),汤尼·雷恩,陈凯歌,张艺谋,张泽鸣,胡玫,吴天明,田壮壮,黄建新
千里之旅 (2006),罗莎莎,张艺谋,高仓健
第1届中国电影导演协会年度奖 (2005),田壮壮,陆川,李雪健,张艺谋,周迅,吴天明,冯小刚,陈凯歌
Cinema 3 (1984),Manel Domínguez,Octavi Martí,Jaume Figueras,张艺谋,李沧东
英雄：幕后的故事 'Hero' Defined: A Look at the Epic (2004),Stanley J. Orzel,张曼玉,梁朝伟,李连杰,甄子丹,张艺谋,章子怡,Beau Weaver
黄土地 (1984),陈凯歌,薛白,王学圻,谭托,刘强
一个和八个 (1983),张军钊,陶泽如,陈道明,卢小燕,赵小锐,赵健文,翟春华,魏宗万,谢园
天涯歌女 (2020),舒淇
Making of House of Flying Daggers (2004),张艺谋
第75届威尼斯国际电影节颁奖典礼 The 75th Mostra Internazionale d'Arte Cinematografica di Ve (2018),阿方索·卡隆,欧格斯·兰斯莫斯,奥利维娅·科尔曼,万玛才旦,威廉·达福,大卫·柯南伯格,伊桑·科恩,乔·科恩
